season,team,PTS40,OP_PTS40,PTS,OP_PTS,3P%,OP_3P%,2P%,OP_2P%,FT%,3PR,OP_3PR,FTR,OP_FTR,OREB%,DREB%,ASTR,OP_ASTR,TOVR,OP_TOVR,PFR,PFDR,AST-TOV_R_x,OP_AST-TOV_R_x,STLR,OP_STLR,BLKR,OP_BLKR,PACE,ORtg,DRtg,NETRtg,TS%,eFG%,OP_TS%,OP_eFG%,AST-TOV_R,OP_AST-TOV_R
2016,BAR,71.07053942,74.42323651,2141,2242,37.84916201,36.07681756,48.48484848,51.21076233,73.68421053,41.17308798,39.53362256,26.22196665,22.55965293,28.62944162,71.30350195,67.40547588,61.15107914,21.09182323,17.52097279,26.32907053,28.32874677,1.167042889,1.385869565,10.09360389,11.04583068,5.470852018,6.353861193,69.72082988,101.935877,106.7446223,-4.808745251,55.39212102,52.21199267,55.35183579,52.5389018,1.30701164,1.471185731
2016,BAM,79.23966942,80.33057851,2397,2430,40.17216643,37.86982249,54.82695811,51.08038029,78.27050998,38.83008357,36.87943262,25.12534819,33.38788871,23.95273899,70.98039216,62.01814059,55.60802834,17.48773527,15.71564476,30.68514615,26.48808969,1.458666667,1.397626113,7.647969557,8.720550654,7.087294728,7.012750455,70.88793388,111.7816038,113.3205245,-1.538920704,60.16414284,57.06149777,58.09099167,53.47127254,1.526467718,1.534341122
2016,RED,73.32780083,73.16182573,2209,2204,33.11688312,35.07462687,50.08223684,54.59770115,75.04950495,33.62445415,39.08984831,27.56550218,27.07117853,26.4565425,71.32116004,60.27060271,66.83229814,16.88746679,22.73492759,28.39526964,27.13221811,1.35734072,1.106995885,12.67729501,9.636615396,4.69348659,8.634868421,70.96033195,103.3363272,103.1024288,0.233898432,53.80516126,50.046667,57.47163926,53.93838666,1.47729268,1.168195252
2016,GAL,78.16666667,82.5,2345,2475,40.46920821,40.88820827,50.87866109,51.28604832,72.35576923,36.33457645,33.72933884,22.16302611,25.41322314,27.42409403,64.50381679,66.28959276,59.24324324,16.79684219,17.07678956,26.26839488,25.80181593,1.627777778,1.49726776,8.678368467,9.098289522,9.119251754,5.439330544,71.442,109.4127637,115.4782901,-6.065526348,57.0235568,54.57133691,57.80421983,55.03485483,1.86938842,1.594767917
2016,KAZ,76.28215768,80.49792531,2298,2425,36.67232598,38.40245776,50.04101723,52.61011419,79.48243993,32.57743363,34.68300479,29.92256637,26.37187001,31.68316832,69.09827761,57.14285714,62.68156425,17.86539205,16.40410668,27.10448662,27.90583666,1.245382586,1.612068966,7.683532728,9.899029895,6.60685155,5.824446267,70.42058091,108.32367,114.3102262,-5.986556175,56.35047893,51.96568862,57.82570819,54.37859735,1.367117552,1.711426096
2017,EFS,77.36666667,84.33333333,2321,2530,34.24437299,42.15976331,49.9222395,55.45064378,76.3915547,32.59958071,36.71917436,27.30607966,26.29005975,32.25508318,69.66413868,54.03508772,63.37271751,15.60878997,16.41044987,26.83202867,28.10525323,1.395770393,1.695402299,8.299537867,8.535320192,7.811158798,7.076205288,70.68666667,109.4501556,119.3058568,-9.855701217,54.5355448,50.72323698,61.59128508,58.24197571,1.645389735,1.962066516
2017,CSK,89.12863071,79.30290456,2685,2389,42.7444795,37.30407524,56.40612409,51.56118143,82.08695652,33.81333333,34.99725727,30.66666667,33.57103675,31.90118153,67.58893281,56.23069001,62.42638398,15.74015437,19.27365842,30.4248465,29.50705324,1.591836735,1.261904762,10.55462247,7.663573703,7.679324895,7.655116841,72.33659751,123.2137449,109.6304047,13.58334022,63.17848382,59.03378759,57.35204447,53.40708945,1.827499608,1.318972205
2017,MTA,81.33333333,84.33333333,2440,2530,35.58718861,38.32020997,51.46533238,51.65016502,70.67137809,28.65884753,38.60182371,28.86282509,26.54508612,32.43243243,68.49953402,56.95652174,60.67538126,15.48410602,15.25639858,26.50514619,26.73285363,1.541176471,1.662686567,9.017214683,8.106384917,8.99339934,6.075768406,73.19333333,111.1212314,115.2199654,-4.098733947,55.41012468,52.35903047,57.40078607,54.00829255,1.62301543,1.895179589
2017,OLY,76.24489796,75.16734694,2335,2302,33.38213763,32.95454545,52.09090909,50.7751938,75.5988024,38.30622546,32.31899265,37.46494672,27.49213012,31.1023622,71.24423963,60.54931336,52.21445221,17.93353384,14.61769816,29.00188676,31.19687658,1.263020833,1.431309904,7.519007678,9.760699408,4.186046512,6.818181818,69.91804082,109.0489623,107.5077992,1.541163064,56.10711397,51.26869777,53.91842643,50.39508456,1.344397708,1.712494118
2017,RMD,85.87551867,79.50207469,2587,2395,37.67560664,36.85674548,55.90909091,49.41077441,79.06197655,41.58258099,37.70319874,31.7047265,28.68379654,30.90727817,69.89843029,64.17582418,57.86384977,15.47873855,16.53515098,27.69637788,30.49816735,1.732937685,1.369444444,9.415849861,8.772816212,8.501683502,6.090909091,72.27153527,118.8234321,110.004685,8.818747187,60.55311108,56.40995356,55.99446637,51.87139993,1.887622,1.581923425
