season,team,PTS40,OP_PTS40,PTS,OP_PTS,3P%,OP_3P%,2P%,OP_2P%,FT%,3PR,OP_3PR,FTR,OP_FTR,OREB%,DREB%,ASTR,OP_ASTR,TOVR,OP_TOVR,PFR,PFDR,AST-TOV_R,OP_AST-TOV_R,STLR,OP_STLR,BLKR,OP_BLKR,PACE,ORtg,DRtg,NETRtg,eFG%,OP_eFG%,TS%,OP_TS%,game_id,round,location,OP_team,win,ORtg_home_avg,DRtg_home_avg,NETRtg_home_avg,eFG%_home_avg,TS%_home_avg,PACE_home_avg,OREB%_home_avg,DREB%_home_avg,AST-TOV_R_home_avg,home_win_pct,away_win_pct,win_pct,home_win_advantage,home_NETRtg_advantage,ORtg_away_avg,DRtg_away_avg,NETRtg_away_avg,eFG%_away_avg,TS%_away_avg,PACE_away_avg,OREB%_away_avg,DREB%_away_avg,AST-TOV_R_away_avg,home_win_pct_away_avg,away_win_pct_away_avg,win_pct_away_avg,home_win_advantage_away_avg,home_NETRtg_advantage_away_avg
2016,BAS,85.0,84.0,85,84,31.57894736842105,34.78260869565217,65.0,50.0,65.21739130434783,32.20338983050848,34.32835820895522,38.983050847457626,28.35820895522388,50.0,66.66666666666667,50.0,50.0,26.93965517241379,14.816810344827584,29.633620689655167,32.32758620689655,0.8,1.3636363636363635,4.0409482758620685,12.122844827586205,4.545454545454546,2.5,74.24000000000001,114.4935344827586,113.14655172413792,1.3469827586206833,59.32203389830509,50.74626865671642,61.48726851851851,55.73248407643312,2016_1_BAS_EFS,1,home_team,EFS,True,110.82002284388204,107.69258661638597,3.1274362274960623,52.88461538461539,56.56684373206982,73.54266666666665,31.749049429657795,70.58823529411765,1.3611111111111112,66,46,56,20,-1.6553721412452518,111.7573522240644,111.35837714670755,0.3989750773568374,50.931372549019606,54.79291278341911,73.96000000000001,32.98701298701299,69.11468812877264,1.5633802816901408,73,40,56,33,5.739365510725278
2016,EFS,84.0,85.0,84,85,34.78260869565217,31.57894736842105,50.0,65.0,84.21052631578948,34.32835820895522,32.20338983050848,28.35820895522388,38.983050847457626,33.333333333333336,50.0,50.0,50.0,14.816810344827584,26.93965517241379,33.67456896551724,28.28663793103448,1.3636363636363635,0.8,12.122844827586205,4.0409482758620685,2.5,4.545454545454546,74.24000000000001,113.14655172413792,114.4935344827586,-1.3469827586206833,50.74626865671642,59.32203389830509,55.73248407643312,61.48726851851851,2016_1_BAS_EFS,1,away_team,BAS,False,111.7573522240644,111.35837714670755,0.3989750773568374,50.931372549019606,54.79291278341911,73.96000000000001,32.98701298701299,69.11468812877264,1.5633802816901408,73,40,56,33,5.739365510725278,110.82002284388204,107.69258661638597,3.1274362274960623,52.88461538461539,56.56684373206982,73.54266666666665,31.749049429657795,70.58823529411765,1.3611111111111112,66,46,56,20,-1.6553721412452518
2016,FNR,67.0,66.0,67,66,50.0,26.923076923076923,35.0,52.94117647058823,78.26086956521739,25.925925925925927,43.333333333333336,42.5925925925926,15.0,20.0,78.78787878787878,76.19047619047619,68.0,13.424821002386633,16.40811455847255,22.374701670644388,35.79952267303102,1.7777777777777777,1.5454545454545454,7.458233890214797,7.458233890214797,2.9411764705882355,15.0,67.04,99.94033412887828,98.44868735083531,1.4916467780429628,45.37037037037037,47.5,52.24578914535246,51.594746716697934,2016_1_FNR_BAM,1,home_team,BAM,True,108.90900428775608,106.90805145307289,2.00095283468319,53.78917378917379,57.5401220273454,69.38842975206612,28.29015544041451,70.57057057057057,1.374331550802139,73,46,60,27,3.5570651401913125,111.78160383517697,113.32052453879017,-1.5389207036132009,56.93593314763231,60.122200818685286,70.88793388429751,23.95273899033297,70.98039215686275,1.4586666666666666,40,26,33,14,14.91010062657054
2016,BAM,66.0,67.0,66,67,26.923076923076923,50.0,52.94117647058823,35.0,100.0,43.333333333333336,25.925925925925927,15.0,42.5925925925926,21.21212121212121,80.0,68.0,76.19047619047619,16.40811455847255,13.424821002386633,35.79952267303102,20.88305489260143,1.5454545454545454,1.7777777777777777,7.458233890214797,7.458233890214797,15.0,2.9411764705882355,67.04,98.44868735083531,99.94033412887828,-1.4916467780429628,47.5,45.37037037037037,51.594746716697934,52.24578914535246,2016_1_FNR_BAM,1,away_team,FNR,False,111.78160383517697,113.32052453879017,-1.5389207036132009,56.93593314763231,60.122200818685286,70.88793388429751,23.95273899033297,70.98039215686275,1.4586666666666666,40,26,33,14,14.91010062657054,108.90900428775608,106.90805145307289,2.00095283468319,53.78917378917379,57.5401220273454,69.38842975206612,28.29015544041451,70.57057057057057,1.374331550802139,73,46,60,27,3.5570651401913125
2016,GAL,84.0,109.0,84,109,37.5,54.54545454545455,50.0,69.04761904761905,61.90476190476191,35.294117647058826,34.375,30.88235294117647,26.5625,18.42105263157895,75.0,61.29032258064516,60.97560975609756,12.444001991040318,18.66600298656048,18.66600298656048,26.13240418118467,1.9,1.6666666666666667,11.199601791936288,4.977600796416128,7.142857142857143,9.090909090909092,80.36,104.52961672473867,135.63962170233947,-31.110004977600795,52.20588235294117,73.4375,54.375970999482135,76.24510352546166,2016_1_GAL_CSK,1,home_team,CSK,False,109.4127637337514,115.47829008146468,-6.065526347713288,54.44858817261588,56.916370555911534,71.442,27.42409402546523,64.50381679389314,1.6277777777777778,53,20,36,33,13.966166846234389,116.12645767747084,105.83957788320843,10.286879794262404,57.454445057979015,62.32864976010966,74.56769714002314,30.439442658092176,69.86434108527132,1.4036697247706422,93,53,73,40,12.91960549830955
2016,CSK,109.0,84.0,109,84,54.54545454545455,37.5,69.04761904761905,50.0,88.23529411764706,34.375,35.294117647058826,26.5625,30.88235294117647,25.0,81.57894736842105,60.97560975609756,61.29032258064516,18.66600298656048,12.444001991040318,27.3768043802887,16.177202588352415,1.6666666666666667,1.9,4.977600796416128,11.199601791936288,9.090909090909092,7.142857142857143,80.36,135.63962170233947,104.52961672473867,31.110004977600795,73.4375,52.20588235294117,76.24510352546166,54.375970999482135,2016_1_GAL_CSK,1,away_team,GAL,True,116.12645767747084,105.83957788320843,10.286879794262404,57.454445057979015,62.32864976010966,74.56769714002314,30.439442658092176,69.86434108527132,1.4036697247706422,93,53,73,40,12.91960549830955,109.4127637337514,115.47829008146468,-6.065526347713288,54.44858817261588,56.916370555911534,71.442,27.42409402546523,64.50381679389314,1.6277777777777778,53,20,36,33,13.966166846234389
2016,KAZ,63.0,69.0,63,69,47.36842105263158,38.095238095238095,39.53488372093023,41.86046511627907,100.0,30.64516129032258,32.8125,3.225806451612903,17.1875,35.294117647058826,69.23076923076923,65.38461538461539,76.92307692307692,22.43493867783428,16.45228836374514,26.92192641340114,13.46096320670057,1.1333333333333333,1.818181818181818,4.486987735566856,14.956625785222856,11.627906976744184,2.3255813953488373,66.86,94.22674244690398,103.2007179180377,-8.973975471133713,49.193548387096776,46.875,50.095419847328245,50.11621150493899,2016_1_KAZ_BAR,1,home_team,BAR,False,108.32366999462624,114.31022616926398,-5.986556174637741,51.65929203539823,56.15725987761725,70.42058091286307,31.683168316831683,69.09827760891591,1.245382585751979,33,20,26,13,6.0356306072297485,101.93587704847788,106.7446222992468,-4.808745250768922,51.89764232317424,55.190653935781896,69.72082987551866,28.629441624365484,71.3035019455253,1.1670428893905191,60,20,40,40,9.159562437123752
2016,BAR,69.0,63.0,69,63,38.095238095238095,47.36842105263158,41.86046511627907,39.53488372093023,81.81818181818181,32.8125,30.64516129032258,17.1875,3.225806451612903,30.76923076923077,64.70588235294117,76.92307692307692,65.38461538461539,16.45228836374514,22.43493867783428,13.46096320670057,26.92192641340114,1.818181818181818,1.1333333333333333,14.956625785222856,4.486987735566856,2.3255813953488373,11.627906976744184,66.86,103.2007179180377,94.22674244690398,8.973975471133713,46.875,49.193548387096776,50.11621150493899,50.095419847328245,2016_1_KAZ_BAR,1,away_team,KAZ,True,101.93587704847788,106.7446222992468,-4.808745250768922,51.89764232317424,55.190653935781896,69.72082987551866,28.629441624365484,71.3035019455253,1.1670428893905191,60,20,40,40,9.159562437123752,108.32366999462624,114.31022616926398,-5.986556174637741,51.65929203539823,56.15725987761725,70.42058091286307,31.683168316831683,69.09827760891591,1.245382585751979,33,20,26,13,6.0356306072297485
2016,MIL,99.0,97.0,99,97,40.90909090909091,41.66666666666666,57.142857142857146,58.53658536585366,80.0,30.985915492957748,36.92307692307692,28.169014084507044,36.92307692307692,37.142857142857146,65.625,78.37837837837837,44.11764705882353,11.814124442110788,15.752165922814386,27.566290364925173,27.566290364925173,3.2222222222222223,1.25,7.876082961407193,3.9380414807035966,7.317073170731708,6.122448979591836,76.18,129.9553688632187,127.33000787608296,2.6253609871357497,58.45070422535211,60.0,62.03007518796993,64.18740074113288,2016_1_MIL_MTA,1,home_team,MTA,True,108.29905204793418,117.19728134501878,-8.898229297084598,52.46161990471149,56.431620347070776,74.23734439834026,32.53358925143954,67.75510204081633,1.227699530516432,40,13,26,27,3.879034402269284,105.83852504227212,113.43394247375514,-7.595417431483014,54.266958424507656,57.25172170918766,73.42273858921162,26.1569416498994,69.0497737556561,1.24,40,26,33,14,3.011527638023466
2016,MTA,97.0,99.0,97,99,41.66666666666666,40.90909090909091,58.53658536585366,57.142857142857146,79.16666666666667,36.92307692307692,30.985915492957748,36.92307692307692,28.169014084507044,34.375,62.85714285714285,44.11764705882353,78.37837837837837,15.752165922814386,11.814124442110788,27.566290364925173,27.566290364925173,1.25,3.2222222222222223,3.9380414807035966,7.876082961407193,6.122448979591836,7.317073170731708,76.18,127.33000787608296,129.9553688632187,-2.6253609871357497,60.0,58.45070422535211,64.18740074113288,62.03007518796993,2016_1_MIL_MTA,1,away_team,MIL,False,105.83852504227212,113.43394247375514,-7.595417431483014,54.266958424507656,57.25172170918766,73.42273858921162,26.1569416498994,69.0497737556561,1.24,40,26,33,14,3.011527638023466,108.29905204793418,117.19728134501878,-8.898229297084598,52.46161990471149,56.431620347070776,74.23734439834026,32.53358925143954,67.75510204081633,1.227699530516432,40,13,26,27,3.879034402269284
